id,title,description,availability,condition,price,link,image_link,brand
MLA1999676255,Pack X2 Cargador Rapido 6.4a Dual 2 Usb + Cable Tipo C Blanco,Pack X2 Cargador Rapido 6.4a Dual 2 Usb + Cable Tipo C Blanco,in stock,new,33000 ARS,https://articulo.mercadolibre.com.ar/MLA-1999676255-pack-x2-cargador-rapido-64a-dual-2-usb-cable-tipo-c-blanco-_JM,https://http2.mlstatic.com/D_858014-MLA116297746311_082026-O.webp,Mixor
MLA3857052230,Cafetera Electrica De Filtro 15 Tazas 1.25l Jarravidrio 650w Negro,Cafetera Electrica De Filtro 15 Tazas 1.25l Jarravidrio 650w Negro,in stock,new,73000 ARS,https://articulo.mercadolibre.com.ar/MLA-3857052230-cafetera-electrica-de-filtro-15-tazas-125l-jarravidrio-650w-negro-_JM,https://http2.mlstatic.com/D_921357-MLA115289691724_082026-O.webp,Genérica
MLA2062207653,Soporte Celular Espejo Retrovisor Auto Universal Ajustable Negro,Soporte Celular Espejo Retrovisor Auto Universal Ajustable Negro,in stock,new,17500 ARS,https://articulo.mercadolibre.com.ar/MLA-2062207653-soporte-celular-espejo-retrovisor-auto-universal-ajustable-negro-_JM,https://http2.mlstatic.com/D_977399-MLA116342724446_092026-O.webp,Genérica
MLA3920338876,Mini Parlante Karaoke Bluetooth Con Microfono Luces Led Rgb Celeste,Mini Parlante Karaoke Bluetooth Con Microfono Luces Led Rgb Celeste,in stock,new,22000 ARS,https://articulo.mercadolibre.com.ar/MLA-3920338876-mini-parlante-karaoke-bluetooth-con-microfono-luces-led-rgb-celeste-_JM,https://http2.mlstatic.com/D_968672-MLA117297414915_092026-O.webp,Genérica
MLA3894176680,Esfera Luz Led Boliche Rgb Con Controlremoto Y Ritmo Musical Negro,Esfera Luz Led Boliche Rgb Con Controlremoto Y Ritmo Musical Negro,in stock,new,28000 ARS,https://articulo.mercadolibre.com.ar/MLA-3894176680-esfera-luz-led-boliche-rgb-con-controlremoto-y-ritmo-musical-negro-_JM,https://http2.mlstatic.com/D_700444-MLA116961993441_082026-O.webp,Genérica
MLA3920643702,Mini Parlante Karaoke Bluetooth Con Microfono Luces Led Rgb Rosa,Mini Parlante Karaoke Bluetooth Con Microfono Luces Led Rgb Rosa,in stock,new,22000 ARS,https://articulo.mercadolibre.com.ar/MLA-3920643702-mini-parlante-karaoke-bluetooth-con-microfono-luces-led-rgb-rosa-_JM,https://http2.mlstatic.com/D_857083-MLA117297215807_092026-O.webp,Genérica
MLA3881486824,Auriculares Inalambricos P9 Vincha Bluetooth Over Ear Blanco,Auriculares Inalambricos P9 Vincha Bluetooth Over Ear Blanco,in stock,new,15000 ARS,https://articulo.mercadolibre.com.ar/MLA-3881486824-auriculares-inalambricos-p9-vincha-bluetooth-over-ear-blanco-_JM,https://http2.mlstatic.com/D_614692-MLA116877037675_082026-O.jpg,Genérica
MLA2040147915,Luz De Emergencia Recargable 60 Luces Led Portatil Blanco,Luz De Emergencia Recargable 60 Luces Led Portatil Blanco,in stock,new,33000 ARS,https://articulo.mercadolibre.com.ar/MLA-2040147915-luz-de-emergencia-recargable-60-luces-led-portatil-blanco-_JM,https://http2.mlstatic.com/D_940684-MLA116797158637_082026-O.webp,ALTAGAMA360
MLA3889795372,Freidora De Aire Sin Aceite Air Fryer Cocina Saludable Negro,Freidora De Aire Sin Aceite Air Fryer Cocina Saludable Negro,in stock,new,120000 ARS,https://articulo.mercadolibre.com.ar/MLA-3889795372-freidora-de-aire-sin-aceite-air-fryer-cocina-saludable-negro-_JM,https://http2.mlstatic.com/D_934671-MLA116932647319_082026-O.webp,Oryx
MLA2067938501,Mini Parlante Karaoke Bluetooth Con Microfono Luces Led Rgb Beige,Mini Parlante Karaoke Bluetooth Con Microfono Luces Led Rgb Beige,in stock,new,33000 ARS,https://articulo.mercadolibre.com.ar/MLA-2067938501-mini-parlante-karaoke-bluetooth-con-microfono-luces-led-rgb-beige-_JM,https://http2.mlstatic.com/D_915839-MLA117296777953_092026-O.jpg,Genérica
